coverage_dense,RMSE,crps_norm,coverage90,sigma_tau,sigma_u,l_u,tau_u,l_v,tau_v,sigma_v,sigma_S,l_S,tau_S
0.0,0.04451328097887082,0.025050895999478375,0.871,2.1757997075537264e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.03,0.0457039795142417,0.025766733016122128,0.867,4.731654155394135e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.06,0.04740197178795183,0.026503632308962573,0.8696,5.467597555576987e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.09,0.04939941287787613,0.027438590564602485,0.8666,2.9651398888944803e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.12,0.054942695690725844,0.029299426826273647,0.8592,1.8317541940654786e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.15,0.056268993387585814,0.02981163301394617,0.8652,3.4585532345196553e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.18,0.05348738522287297,0.02898588381271463,0.87,2.1237551573675477e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.21,0.05655285134964086,0.029839842256913617,0.8744,2.676027509908509e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.24,0.05352529378748371,0.02913369871191745,0.8844,1.0514487141961576e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.27,0.05965150384653505,0.03161695969333751,0.875,4.683848870562975e-09,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.3,0.06258453554047046,0.03334893364348796,0.8688,4.0876029930037e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.33,0.06650664966399372,0.03474253671793299,0.8742,1.4402574594192358e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.36,0.07176580430166431,0.03724984425997386,0.864,1.3499542975323762e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.39,0.07083057191839891,0.037210249629650055,0.8654,1.6206919770188916e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.42,0.07556189751016475,0.03938902549512858,0.8606,4.494522638947145e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.45,0.0765686186467795,0.03988363561952966,0.866,7.1737845029106e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.48,0.0760979213095771,0.039753283668019335,0.8742,2.556586284158803e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.51,0.0784432854712279,0.04096443434158872,0.8742,1.8361982805406528e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.54,0.08051770454690167,0.04238737072330311,0.8674,5.243967788676946e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.57,0.08437147221033256,0.04476752695207816,0.8562,6.430538339627569e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.6,0.08224510795521867,0.04336365686375444,0.8786,5.023086730631834e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.63,0.0822614810306751,0.04345978556657314,0.8838,3.3402520546934186e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.66,0.08571316020185597,0.045731765029094776,0.8736,3.219469707813226e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.69,0.08518084604457928,0.04599428149270712,0.8794,7.736827825993022e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.72,0.08883012084139665,0.04798146128111322,0.8772,2.9482301332450405e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.75,0.08792297989676524,0.04788799446330726,0.8838,6.87020396664592e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
