noise_sd,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687383545854794,0.026621897917820717,0.8424,0.0877275094678949,20795.892219766367,0.017826212272042927,1.469990307550261e-07,20839.50783442882,1.032290130191596e-08,7.983851309322144e-05,20795.892219766367,0.0877275094678949,0.017826212272042927
0.001,0.05343104880742113,0.029877009366163748,0.8758,0.08969596754923703,23680.371379201402,0.011500005226962961,1.292015806491741e-07,19946.736053793356,7.014210630451009e-08,0.0009955676116077995,23680.371379201402,0.08969596754923703,0.011500005226962961
0.002,0.05656882054997458,0.03155645046080658,0.8662,0.0932009149955346,30619.503791165498,0.010394196136326759,7.65942868551457e-08,13377.284103312184,9.383099700126492e-08,0.0019483873504017447,30619.503791165498,0.0932009149955346,0.010394196136326759
0.003,0.06710565127990831,0.037465361723922265,0.8726,0.09123626776896773,26341.347513964804,0.010001121557663029,1.1995751085450152e-07,32907.46228034514,1.2459468542169483e-07,0.0029363579317760492,26341.347513964804,0.09123626776896773,0.010001121557663029
0.004,0.07352259009327938,0.04144698627653482,0.8246,0.08318503961020733,28549.722081791046,0.0102127296270934,1.319271460459676e-07,36523.34626885963,1.2515722354952605e-07,0.003919906149240549,28549.722081791046,0.08318503961020733,0.0102127296270934
0.005,0.07048204531955331,0.03989152726464154,0.857,0.08298483601734052,28410.303561445256,0.009965948611923547,1.3224797516915674e-07,35692.8086804797,1.432485573514091e-07,0.004991387979456445,28410.303561445256,0.08298483601734052,0.009965948611923547
0.006,0.0796499039351169,0.04526916173504529,0.8142,0.08094800590523991,28739.827761100183,0.00999200922377706,9.073423297174397e-08,23064.356571091812,1.5824620622815222e-07,0.006033878371889058,28739.827761100183,0.08094800590523991,0.00999200922377706
0.007,0.07993293605294065,0.0454310927167247,0.8314,0.08121904810347298,28994.90171506796,0.010028050601872951,9.999999999999982e-09,19883.716391933733,1.6463988505007926e-07,0.007119032521266449,28994.90171506796,0.08121904810347298,0.010028050601872951
0.008,0.07724841196128956,0.04391034371131706,0.8408,0.0784625383500092,29052.43183505159,0.01001366897676592,1.0553553624627667e-06,2363.3528080779715,2.1173851916093694e-07,0.006038292722612507,29052.43183505159,0.0784625383500092,0.01001366897676592
0.009000000000000001,0.08024332929240839,0.045059765710311776,0.8582,0.0847430652695112,27727.646393817908,0.010007907983255468,1.2436001775676067e-07,26463.86243583621,1.9189608118203727e-07,0.008939467095348333,27727.646393817908,0.0847430652695112,0.010007907983255468
0.01,0.08903900395779779,0.050353751495312175,0.8076,0.07572305528235276,28545.18660296306,0.009999521311827837,2.947090952187125e-07,9913.768234220859,1.998211871586978e-07,0.00985829362996755,28545.18660296306,0.07572305528235276,0.009999521311827837
0.011,0.09880122279018537,0.05629192850187975,0.783,0.07829441279675581,27846.001149242442,0.01000329948306473,3.4073259790166044e-07,28706.774415554984,2.1620764311548109e-07,0.010688480192983208,27846.001149242442,0.07829441279675581,0.01000329948306473
0.012,0.09033976516036395,0.05174119488083456,0.7696,0.06935525261057963,29949.80847650394,0.010017300050633591,2.517888634247289e-07,26243.378542738425,1.974539262806314e-07,0.01157104935292142,29949.80847650394,0.06935525261057963,0.010017300050633591
0.013000000000000001,0.09101037933688692,0.05208795678156775,0.789,0.0695111367679981,29343.401564776337,0.00999661508963136,9.999999999999982e-09,19963.655275864294,8.71874939396522e-08,0.012982699638916415,29343.401564776337,0.0695111367679981,0.00999661508963136
0.014,0.08764624772228312,0.04886820339682314,0.8328,0.07344983614601837,28513.06440848299,0.009999843170629507,1.0959173337230036e-08,18592.01918686244,1.0417531866799839e-07,0.013725213576053212,28513.06440848299,0.07344983614601837,0.009999843170629507
0.015,0.09351907160573418,0.053240316774986925,0.829,0.08344535543822912,27801.229127819228,0.009997663940478858,9.999999999999982e-09,20020.144898106202,1.3135989381003144e-07,0.014792642636013782,27801.229127819228,0.08344535543822912,0.009997663940478858
